City,Lat,Long,Pop,
Hamburg,53.551085,9.993682,755,x
München,48.135125,"11.58198

",310,x
Bremen,53.0792962,8.8016937,325,xx
Hannover,52.3758916,9.7320104,204,x
Frankfurt ,50.110922,8.682127,248,x
Mainz,49.9928617,8.2472526,97,x
Wiesbaden,50.0782184,8.2397608,203,x
Saarbrücken,49.2401572,6.9969327,167,x
Berlin ,52.520007,13.404954,891,x
Potsdam,52.390569,13.064473,188,h
Aachen,50.7753455,6.0838868,160,xx
Bonn,50.73743,7.0982068,141,xx
Mönchen-Gladbach,51.180457,6.442804,170,x
Wuppertal,51.2562128,7.1507636,168,x
Essen,51.4556432,7.0115552,210,xx
Duisburg,51.4344079,6.7623293,232,xx
Dortmund,51.5135872,7.4652981,280,x
Köln,50.937531,6.9602786,405,x
Koblenz,50.3569429,7.5889959,105,xx
Kaiserslautern,49.4400657,7.7491265,139,x
Karlsruhe,49.0068901,8.4036527,173,x
Stuttgart,48.7758459,9.1829321,207,x
Nürnberg,49.45203,11.07675,186,xx
Chemnitz,50.827845,12.9213697,221,x
Leipzig,51.3396955,12.3730747,297,x
Rostock,54.092441,12.099147,181,x
Schwerin,53.6355022,11.4012499,130,x
Kiel,54.3232927,10.1227652,118,x
Flensburg,54.7937431,9.4469964,56,x
Osnabrück,52.2799112,8.0471788,119,x
Münster,51.9606649,7.6261347,303,x
Bochum,51.4818445,7.2162363,145,xx
Oldenburg,53.1434501,8.2145521,102,x
Braunschweig ,52.2688736,10.5267696,192,x
Magdeburg,52.1205333,11.6276237,201,x
Regensburg,49.0134297,12.1016236,80,x
Düsseldorf,51.2277411,6.7734556,217,
